# mu sigma alow ahigh nlow nhigh logL logPrior
5.645456040202407166e+03 2.801638951963527546e+01 7.860669248296707767e-01 1.055946217221997330e+00 2.088791564080017427e+00 2.143084578874101087e+00 -inf 0.000000000000000000e+00
5.565494529128034628e+03 1.597110645793243755e+01 5.104932132350646912e-01 1.017837426788455790e+00 2.783402950622557714e+00 2.857317534864825426e+00 -inf 0.000000000000000000e+00
5.670436809803566575e+03 1.530383333498125964e+01 8.722733128859685436e-01 1.170739284946607395e+00 2.131026001843231654e+00 2.238527517243261933e+00 -inf 0.000000000000000000e+00
5.693751292724262385e+03 1.262597152294939917e+01 9.085787743038283848e-01 1.261471646582223549e+00 2.199549436733603258e+00 2.676573371808461665e+00 -inf 0.000000000000000000e+00
5.518895466886774557e+03 3.159020814877134598e+01 2.612157334447397505e-01 1.433236737606991440e+00 2.772551447180515716e+00 2.706942496301943279e+00 -inf 0.000000000000000000e+00
5.503943140176561428e+03 1.745377374926041369e+01 7.521497939393575471e-01 1.970739776737521209e+00 2.765915221104616073e+00 2.881702287123004247e+00 -inf 0.000000000000000000e+00
5.529634182764038997e+03 1.978231598450245343e+01 6.145628355915648822e-01 1.983803169806699129e+00 2.803330410327915523e+00 2.904869971255567673e+00 -inf 0.000000000000000000e+00
5.642332396520940165e+03 1.125684655430174708e+01 3.181452910152600677e-01 1.461578556890069436e+00 2.323607285977378201e+00 2.287761756758359688e+00 -inf 0.000000000000000000e+00
5.659874666132465791e+03 3.054416170462592817e+01 3.032686966244599325e-01 1.221574420867749922e+00 2.201367167173854167e+00 2.839273236777910991e+00 -inf 0.000000000000000000e+00
5.545612111346687016e+03 2.092843135637769336e+01 1.145191696007520354e-01 1.140379377653804704e+00 2.637505606667250646e+00 2.112007290031264084e+00 -inf 0.000000000000000000e+00
5.695433752528148034e+03 3.205430609010029741e+01 8.087176329910424899e-01 1.476478538898794657e+00 2.152107361062288504e+00 2.387608207569056340e+00 -inf 0.000000000000000000e+00
5.537943470794752102e+03 2.176062920663548184e+01 8.754495403177875446e-01 1.849387171178256351e+00 2.023823497190694543e+00 2.232334571112908783e+00 -inf 0.000000000000000000e+00
5.639982556328357532e+03 2.805745073127125977e+01 4.680196432721427380e-01 1.382096858562313457e+00 2.268477145364456327e+00 2.616586548021305525e+00 -inf 0.000000000000000000e+00
5.534077191532353936e+03 1.304187135593580749e+01 1.546802378391835542e-01 1.169166577929329431e+00 2.889104567385301525e+00 2.959273674695269474e+00 -inf 0.000000000000000000e+00
5.558814752833276543e+03 3.247246160397110515e+01 4.420200082053262758e-01 1.793510624792659769e+00 2.543638999912300136e+00 2.268771436328419266e+00 -inf 0.000000000000000000e+00
5.645088841275006416e+03 1.610404248834140972e+01 2.481121620718187704e-01 1.209967422271301496e+00 2.964005197580233286e+00 2.056240381665420003e+00 -inf 0.000000000000000000e+00
5.648579876097404849e+03 2.435968384731609504e+01 9.049856110405536391e-01 1.738030232608034797e+00 2.082357315758045502e+00 2.291355447319005201e+00 -inf 0.000000000000000000e+00
5.666306777230305670e+03 3.007415605499865663e+01 8.917591712821154593e-01 1.062378498993688858e+00 2.597259349764434511e+00 2.155803468498505904e+00 -inf 0.000000000000000000e+00
5.686394902720872778e+03 2.673699994776067612e+01 1.909006391289093663e-01 1.869657030529392028e+00 2.700859141751994486e+00 2.154847585369568996e+00 -inf 0.000000000000000000e+00
