# mu sigma alow ahigh nlow nhigh logL logPrior
5.538303890075778327e+03 2.555271927599579840e+01 4.939549651064030211e-01 1.785358583713769320e+00 2.779975808118803293e+00 2.272592605282641731e+00 -inf 0.000000000000000000e+00
5.555292851028619225e+03 3.004680443837548154e+01 9.623254183153346908e-01 1.875932634742094596e+00 2.357817269957866557e+00 2.500995125523458817e+00 -inf 0.000000000000000000e+00
5.636692587034427561e+03 2.781755067457250519e+01 4.332256793113554716e-01 1.561196186065624936e+00 2.503083165307809832e+00 2.013768449590682241e+00 -inf 0.000000000000000000e+00
5.654565324322475135e+03 3.206602976590291121e+01 4.283973855112350737e-01 1.615396178433493812e+00 2.075381241642976438e+00 2.368824006001974514e+00 -inf 0.000000000000000000e+00
5.686628020396504326e+03 2.628445358066443305e+01 4.574823199535388296e-01 1.788730142940745615e+00 2.316836122168871359e+00 2.568098652626069178e+00 -inf 0.000000000000000000e+00
5.673825477912245333e+03 2.090433559739198444e+01 8.219328778721431972e-01 1.143766824514564462e+00 2.704260971118335632e+00 2.704581308189572653e+00 -inf 0.000000000000000000e+00
5.543758421134817581e+03 3.312169071538912135e+01 4.979266798637589364e-01 1.909315958972472416e+00 2.059809222779851900e+00 2.184287083813813535e+00 -inf 0.000000000000000000e+00
5.509471055760302988e+03 2.687202358955825332e+01 6.351623019410039817e-01 1.533310162998750670e+00 2.043324062694803267e+00 2.561433080063397760e+00 -inf 0.000000000000000000e+00
5.565933689124182820e+03 2.257417082781545759e+01 2.007048858169634409e-01 1.607193706218484675e+00 2.565944643050531493e+00 2.006764061990002901e+00 -inf 0.000000000000000000e+00
5.623488341760859839e+03 3.280307216082886157e+01 8.114717197513300340e-01 1.992081466188361460e+00 2.958801762152866388e+00 2.791964135291639781e+00 -inf 0.000000000000000000e+00
5.557050192004901874e+03 2.562291763264777700e+01 5.302844161036071036e-01 1.195675178665898120e+00 2.382317452031506466e+00 2.053873685146236472e+00 -inf 0.000000000000000000e+00
5.590329681652171530e+03 3.455011853804886357e+01 2.115484304382667102e-01 1.119380897926248508e+00 2.738523056143346679e+00 2.587303633463984731e+00 -inf 0.000000000000000000e+00
5.594326506864073963e+03 1.267817042984665754e+01 3.062967089145561261e-01 1.899965194836675364e+00 2.416753537802692975e+00 2.535851662531615869e+00 -inf 0.000000000000000000e+00
5.501241703317426072e+03 1.751604264425752788e+01 4.932038549580491926e-01 1.612148997065757428e+00 2.918198075380573187e+00 2.625736669962535075e+00 -inf 0.000000000000000000e+00
5.641199513016355013e+03 1.374584289974817963e+01 7.714570682230449394e-01 1.831006992433537928e+00 2.633725768950978985e+00 2.438309881122427747e+00 -inf 0.000000000000000000e+00
