# mu sigma alow ahigh nlow nhigh logL logPrior
5.551599767118220370e+03 2.216620099709253466e+01 8.047645803641511053e-01 1.922411666940132324e+00 2.216729755715022065e+00 2.582112455084998981e+00 -inf 0.000000000000000000e+00
5.573077163531595033e+03 1.655122020458034271e+01 4.650490823527055895e-01 1.435292141828335755e+00 2.396434167614487354e+00 2.973946964887541178e+00 -inf 0.000000000000000000e+00
5.661541507553346491e+03 1.527086847897857780e+01 2.877570301266282327e-01 1.203830914766574889e+00 2.595939061461200570e+00 2.665737466800409905e+00 -inf 0.000000000000000000e+00
5.586214161638817131e+03 1.691566206789456572e+01 8.473547841070293574e-01 1.473423785362505622e+00 2.593152273669006913e+00 2.402076093462010675e+00 -inf 0.000000000000000000e+00
5.540361492570731571e+03 2.727878993304168631e+01 7.142854476852513734e-01 1.256018292742077769e+00 2.386723794647855446e+00 2.055408208786883684e+00 -inf 0.000000000000000000e+00
5.665342752879289947e+03 1.178637692315416530e+01 5.337625645409668218e-01 1.430974959405693969e+00 2.822736455750007867e+00 2.421537426524129621e+00 -inf 0.000000000000000000e+00
5.583538710271009222e+03 2.429802321766578643e+01 5.041518435980713031e-01 1.765686540852199116e+00 2.863980276169470152e+00 2.655918416874711863e+00 -inf 0.000000000000000000e+00
5.686557985083930362e+03 3.341028080160848646e+01 6.894703934833004144e-01 1.524509660117690180e+00 2.870168543154386409e+00 2.636195014229052447e+00 -inf 0.000000000000000000e+00
5.501574883017822685e+03 3.428789946311606940e+01 2.696323854556126332e-01 1.280749513477493551e+00 2.450251892605762372e+00 2.613253831261244109e+00 -inf 0.000000000000000000e+00
5.526495186209913300e+03 2.008247136354273721e+01 5.134648563491664985e-01 1.830624123854425189e+00 2.296608368818337631e+00 2.001066506933800948e+00 -inf 0.000000000000000000e+00
5.614736988304247461e+03 2.559823682595828132e+01 3.765233902385136666e-01 1.425705688271191818e+00 2.988725826203479041e+00 2.409521781975536125e+00 -inf 0.000000000000000000e+00
5.584342202323498896e+03 1.041067191329828745e+01 4.330314041427955063e-01 1.114532549234031888e+00 2.494311583861006376e+00 2.625003705745760474e+00 -inf 0.000000000000000000e+00
5.627431747958456072e+03 3.421095154758526746e+01 5.157522515083468040e-01 1.470992836754573263e+00 2.270704990372548693e+00 2.091064741737631572e+00 -inf 0.000000000000000000e+00
5.674232285546750063e+03 2.044969548756303368e+01 7.993516678563125089e-01 1.050026734581967602e+00 2.095498645368162105e+00 2.292373957172387122e+00 -inf 0.000000000000000000e+00
5.570245857934792184e+03 1.233378653207248732e+01 9.652873887775438311e-01 1.140347224565049000e+00 2.152200021424513832e+00 2.626070404653340518e+00 -inf 0.000000000000000000e+00
5.650171406158415266e+03 1.302989413374343819e+01 8.300759189511603964e-01 1.456341052182739793e+00 2.172091808191062956e+00 2.231001159571324166e+00 -inf 0.000000000000000000e+00
5.629614304515057484e+03 1.312081922120555610e+01 9.115158010983046566e-01 1.362090458943402194e+00 2.133591011311990471e+00 2.527635223511031981e+00 -inf 0.000000000000000000e+00
